X,Y,Rate_per_100000,Walkability,PopulationFemale,NoHealthInsurance,X.Black
-84.234423,30.442329,507.7,664.716667,3518.5,568.89,2260.59
-82.476551,29.444588,249,44.930556,465.08,129.95,82.64
-84.990853,30.280833,149.7,7.666667,85.54,28.43,21.71
-83.623325,30.450252,689.1,25.791667,243.55,64.56,172.34
-82.572741,27.416274,308.7,835.413889,4033.21,952.89,657.8
-82.209909,29.241343,340.3,454.333333,3139.08,758.09,817.3
-80.183443,27.153474,253.6,238.041667,1707.85,342.52,200.88
-80.156509,25.968687,1143.7,7048.076984,26012.6,8372.91,8445.54
-81.792774,24.55602,812.8,308.722222,1350.18,502.96,164.24
-81.669793,30.66458,181.2,75.130556,607.75,120.72,64.93
-86.625221,30.444242,258.7,324.258333,2031.01,504.52,379.75
-80.978912,27.516022,291.6,61.061111,519.09,174,90.64
-81.414532,28.458907,753.7,2299.972222,10457.39,2853.26,4465.47
-81.434336,28.314142,444.4,383.186111,2025.42,598,383.44
-80.077396,26.766914,617.3,3493.655556,16847.09,3981.05,5488.77
-82.752246,28.205908,259.6,1206.888889,6798.87,1636.55,670.56
-82.842537,27.902128,545.4,3109.544444,12619.15,2627.52,2474.81
-81.72582,27.953305,422.4,1193.569444,7712.44,1918.99,2307.44
-81.653723,29.669679,405,92.122222,809.45,252.43,276.01
-81.26183,29.801821,159.2,312.902778,2003.46,357.85,196.75
-80.332526,27.417331,613.3,317.022222,2188.7,617.63,886.29
-87.110906,30.37494,158.2,159.447222,1231.39,236.79,129.22
-82.479644,27.218358,254.2,1109.305556,4897.67,988.3,356.33
-81.340066,28.770304,319.2,845.422222,4454.9,868.58,1167.59
-82.211491,28.619137,205.5,100.902778,854.11,148.79,170.56
-83.0342,30.259093,412.3,36.916667,337.74,102.53,86.6
-83.78837,30.163859,775.9,23.083333,187.73,38.31,72.75
-82.385094,30.05605,2124.9,13.6,109.62,31.37,62.07
-81.012684,29.163422,375,1189.438889,5777.09,1352.85,1276.66
-84.529633,30.143035,364.8,21.333333,184.12,37.69,58.18
-85.989897,30.635767,134.7,64.827778,538.34,145.51,52.97
-85.765793,30.520344,675.9,33.277778,344.41,87.5,92.69
-82.270069,31.878009,225.1,23.541667,247.8,72.88,92.17
-83.024257,31.324919,296.6,10.25,98.38,46.27,37.97
-82.483683,31.485142,473.2,17.777778,151.41,63.23,40.83
-84.36011,31.343338,304.1,5,53.24,13.93,45.4
-83.139346,33.072776,329.7,53.447222,441.86,117.9,413.81
-83.588397,34.319869,104.8,20.75,199.47,62.3,10.52
-83.838488,34.00208,187.5,108.138889,918.4,277.32,212.39
-84.718526,34.183994,227.4,92.475,756.32,225.86,132.75
-83.234283,31.725941,101.7,26.758333,259.52,94.5,161.32
-83.288638,31.245272,309.2,24.444444,310.01,132.45,79.24
-83.653301,32.797737,958,331.45,2334.15,650.07,2572.3
-83.422462,32.414903,404.8,18.333333,162.15,28.68,90.6
-81.967085,31.199715,137.3,12.166667,153.03,43.96,11.07
-83.503932,30.936134,511.7,25.305556,259.02,91.06,183.72
-81.494803,32.03046,172.1,37.222222,303.14,71.54,96.84
-81.622451,32.259871,375,75.916667,612.44,169.57,367.02
-81.90765,33.172795,542.8,21.541667,312.25,80.55,261.25
-83.958117,33.289672,573.4,17.991667,139.5,32.57,88.7
-84.746447,31.531137,602.2,9.166667,78.25,33.13,121.07
-81.620006,30.919963,220.3,58.152778,474.92,119.59,173.83
-82.129357,32.355221,324.4,13.888889,152.13,67.06,72.68
-85.11931,33.589282,268.7,103.769444,869.54,212.17,322.17
-85.242621,34.92861,96.2,65.311111,565.57,125.36,24.71
-82.154378,30.913598,503.1,8.916667,85.89,36.2,38.12
-81.08607,32.044257,723.4,799.641667,3574.96,1046.69,3051.3
-84.939473,32.367272,122.2,21.305556,155.75,19.1,84.53
-85.308191,34.550037,253.7,28.133333,295.19,80.12,50.49
-84.494595,34.168298,185.6,182.711111,1316.87,285.31,172.95
-83.355772,33.954633,397.3,226.375,1548.02,399.98,802.05
-84.372822,33.584564,1014.9,435.625,2588.68,923.59,3358.06
-82.780176,31.068629,515.8,9.733333,98.18,38.95,72.09
